"GEO_ID","GEO_ID_F","NAME","NAICS2017","NAICS2017_LABEL","SECTOR","INDLEVEL","NAICS2017_F","SUBSECTOR","INDGROUP","SEX","SEX_LABEL","ETH_GROUP","ETH_GROUP_LABEL","RACE_GROUP","RACE_GROUP_LABEL","VET_GROUP","VET_GROUP_LABEL","RCPSZFI","RCPSZFI_LABEL","QDESC","QDESC_LABEL","BUSCHAR","BUSCHAR_LABEL","YEAR","FIRMPDEMP","FIRMPDEMP_PCT","RCPPDEMP","RCPPDEMP_PCT","EMP","EMP_PCT","PAYANN","PAYANN_PCT","FIRMPDEMP_S","FIRMPDEMP_PCT_S","RCPPDEMP_S","RCPPDEMP_PCT_S","EMP_S","EMP_PCT_S","PAYANN_S","PAYANN_PCT_S"
"id","Geo Footnote","Geographic Area Name","2017 NAICS code","Meaning of NAICS code","NAICS economic sector ","Industry level","2017 NAICS Footnote","SUBSECTOR","Industry group","Sex code","Meaning of Sex code","Ethnicity code","Meaning of Ethnicity code","Race code","Meaning of Race code","Veteran code","Meaning of Veteran code","Sales, value of shipments, or revenue size of firms code","Meaning of Sales, value of shipments, or revenue size of firms code","Question description code","Meaning of Question description code","Business characteristic code","Meaning of Business characteristic code","Year","Number of employer firms","Percent of employer firms (%)","Sales, value of shipments, or revenue of employer firms ($1,000)","Percent of sales, value of shipments, or revenue of employer firms (%)","Number of employees","Percent of employees (%)","Annual payroll ($1,000)","Percent of annual payroll (%)","Relative standard error of employer firms (%)","Standard error of percent of employer firms (%)","Relative standard error of sales, value of shipments, or revenue of employer firms (%)","Standard error of percent of sales, value of shipments, or revenue of employer firms (%)","Relative standard error of number of employees (%)","Standard error of percent of employees (%)","Relative standard error of annual payroll (%)","Standard error of percent of annual payroll (%)"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","511","Firms with sales/receipts of less than $5,000","B01","OWNRNUM","A1","All firms","2018","36605","X","83359","X","92450","X","4965554","X","4.2","X","4.6","X","11.8","X","12.4","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","511","Firms with sales/receipts of less than $5,000","B01","OWNRNUM","BQ","1 person","2018","8595","66.2","19975","69.0","13411","45.8","568457","38.6","5.1","2.3","5.4","2.3","16.4","16.9","19.6","30.8"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","511","Firms with sales/receipts of less than $5,000","B01","OWNRNUM","BQ01","2 to 4 people","2018","3683","28.4","7530","26.0","11021","37.6","409964","27.8","8.5","1.8","7.5","1.5","29.6","15.9","39.1","25.6"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","511","Firms with sales/receipts of less than $5,000","B01","OWNRNUM","BQ02","5 to 10 people","2018","247","1.9","533","1.8","485","1.7","19477","1.3","26.9","0.5","21.5","0.4","46.2","1.0","31.1","1.1"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","511","Firms with sales/receipts of less than $5,000","B01","OWNRNUM","BQ03","11 or more people","2018","303","2.3","517","1.8","2287","7.8","176727","12.0","36.2","0.8","38.3","0.6","27.1","11.3","41.9","9.2"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","511","Firms with sales/receipts of less than $5,000","B01","OWNRNUM","BX","Unknown number of owners","2018","155","1.2","403","1.4","2081","7.1","298739","20.3","44.4","0.5","49.5","0.6","6.0","16.9","7.9","44.6"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","511","Firms with sales/receipts of less than $5,000","B01","OWNRNUM","BY","Total reporting","2018","12986","100.0","28958","100.0","29285","100.0","1473364","100.0","4.9","0.0","4.7","0.0","13.5","0.0","12.7","0.0"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","511","Firms with sales/receipts of less than $5,000","B01","OWNRNUM","BZ","Item not reported","2018","1049","X","2099","X","4292","X","227216","X","11.5","X","13.7","X","63.0","X","63.3","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","518","Firms with sales/receipts of $5,000 to $9,999","B01","OWNRNUM","A1","All firms","2018","39920","X","277015","X","41784","X","1553295","X","5.8","X","5.7","X","5.0","X","7.9","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","518","Firms with sales/receipts of $5,000 to $9,999","B01","OWNRNUM","BQ","1 person","2018","9663","69.8","67380","70.0","8769","66.3","226466","61.3","5.1","1.1","5.0","1.3","9.7","7.1","8.2","25.9"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","518","Firms with sales/receipts of $5,000 to $9,999","B01","OWNRNUM","BQ01","2 to 4 people","2018","3970","28.7","27565","28.6","3479","26.3","69579","18.8","6.4","1.3","6.7","1.4","12.5","5.6","35.4","13.5"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","518","Firms with sales/receipts of $5,000 to $9,999","B01","OWNRNUM","BQ02","5 to 10 people","2018","S","S","S","S","250 to 499 employees","S","S","S","S","S","S","S","S","S","S","S"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","518","Firms with sales/receipts of $5,000 to $9,999","B01","OWNRNUM","BQ03","11 or more people","2018","93","0.7","673","0.7","500","3.8","59969","16.2","48.5","0.3","46.9","0.3","52.0","2.0","54.2","13.1"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","518","Firms with sales/receipts of $5,000 to $9,999","B01","OWNRNUM","BX","Unknown number of owners","2018","S","S","S","S","100 to 249 employees","S","S","S","S","S","S","S","S","S","S","S"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","518","Firms with sales/receipts of $5,000 to $9,999","B01","OWNRNUM","BY","Total reporting","2018","13840","100.0","96273","100.0","13231","100.0","369273","100.0","4.8","0.0","4.6","0.0","7.6","0.0","11.6","0.0"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","518","Firms with sales/receipts of $5,000 to $9,999","B01","OWNRNUM","BZ","Item not reported","2018","1131","X","7304","X","884","X","40870","X","16.7","X","18.9","X","11.3","X","7.0","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","519","Firms with sales/receipts of $10,000 to $24,999","B01","OWNRNUM","A1","All firms","2018","114135","X","1942119","X","159352","X","4643999","X","2.2","X","2.5","X","22.3","X","21.6","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","519","Firms with sales/receipts of $10,000 to $24,999","B01","OWNRNUM","BQ","1 person","2018","29309","68.5","507346","68.9","25315","56.5","583117","51.2","3.2","1.3","3.4","1.4","6.9","8.9","16.9","19.7"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","519","Firms with sales/receipts of $10,000 to $24,999","B01","OWNRNUM","BQ01","2 to 4 people","2018","12942","30.2","219594","29.8","17158","38.3","437753","38.4","4.9","1.4","5.3","1.4","24.8","7.3","55.3","18.5"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","519","Firms with sales/receipts of $10,000 to $24,999","B01","OWNRNUM","BQ02","5 to 10 people","2018","240","0.6","3371","0.5","147","0.3","3846","0.3","28.5","0.2","28.3","0.1","40.8","0.1","48.5","0.3"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","519","Firms with sales/receipts of $10,000 to $24,999","B01","OWNRNUM","BQ03","11 or more people","2018","160","0.4","3156","0.4","616","1.4","43665","3.8","34.3","0.1","38.5","0.2","29.6","1.3","21.0","4.0"
