"GEO_ID","NAME","GEO_ID_F","NAICS2017","INDLEVEL","NAICS2017_LABEL","SUBSECTOR","SECTOR","NAICS2017_F","INDGROUP","SEX","SEX_LABEL","ETH_GROUP","ETH_GROUP_LABEL","RACE_GROUP","RACE_GROUP_LABEL","VET_GROUP","VET_GROUP_LABEL","EMPSZFI","EMPSZFI_LABEL","YEAR","FIRMPDEMP","RCPPDEMP","EMP","PAYANN","FIRMPDEMP_S","RCPPDEMP_S","EMP_S","PAYANN_S"
"id","Geographic Area Name","Geo Footnote","2017 NAICS code","Industry level","Meaning of NAICS code","SUBSECTOR","NAICS economic sector ","2017 NAICS Footnote","Industry group","Sex code","Meaning of Sex code","Ethnicity code","Meaning of Ethnicity code","Race code","Meaning of Race code","Veteran code","Meaning of Veteran code","Employment size of firms code","Meaning of Employment size of firms code","Year","Number of employer firms","Sales, value of shipments, or revenue of employer firms ($1,000)","Number of employees","Annual payroll ($1,000)","Relative standard error of employer firms (%)","Relative standard error of sales, value of shipments, or revenue of employer firms (%)","Relative standard error of number of employees (%)","Relative standard error of annual payroll (%)"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","001","Total","00","Total","001","Total","611","Firms with no employees","2018","711493","325046053","0","49465824","0.8","4.4","0.0","2.8"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","001","Total","00","Total","001","Total","612","Firms with 1 to 4 employees","2018","2810033","1247506977","5612254","225973662","0.2","0.5","0.3","1.0"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","001","Total","00","Total","001","Total","620","Firms with 5 to 9 employees","2018","948936","1071154479","6265576","249456413","0.5","1.0","0.6","1.1"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","001","Total","00","Total","001","Total","630","Firms with 10 to 19 employees","2018","611926","1397607709","8242749","335750963","0.8","1.8","0.8","0.8"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","001","Total","00","Total","001","Total","641","Firms with 20 to 49 employees","2018","402704","2421677332","12161051","526534406","1.3","5.0","1.3","1.4"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","001","Total","00","Total","001","Total","642","Firms with 50 to 99 employees","2018","124334","2212008509","8533853","406406856","2.5","7.5","2.4","2.8"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","001","Total","00","Total","001","Total","651","Firms with 100 to 249 employees","2018","71081","3208386734","10657260","550771515","3.7","6.6","3.6","4.5"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","001","Total","00","Total","001","Total","652","Firms with 250 to 499 employees","2018","21488","2178757220","7491988","398130293","4.4","7.8","4.4","7.0"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","001","Total","00","Total","001","Total","657","Firms with 500 employees or more","2018","20149","24343394355","69231676","4194750376","1.9","0.7","0.6","0.6"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","001","Total","00","Total","001","Total","611","Firms with no employees","2018","152923","50468809","0","9058297","1.4","6.3","0.0","4.3"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","001","Total","00","Total","001","Total","612","Firms with 1 to 4 employees","2018","593464","206956293","1146253","40261977","1.2","2.2","1.0","2.6"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","001","Total","00","Total","001","Total","620","Firms with 5 to 9 employees","2018","190325","172858913","1258633","43157329","1.2","3.5","1.2","2.2"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","001","Total","00","Total","001","Total","630","Firms with 10 to 19 employees","2018","113310","190719114","1520811","51656971","2.7","3.3","2.7","3.5"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","001","Total","00","Total","001","Total","641","Firms with 20 to 49 employees","2018","64133","286532471","1897699","68820654","2.7","14.5","2.5","4.7"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","001","Total","00","Total","001","Total","642","Firms with 50 to 99 employees","2018","16829","212398699","1141762","43993880","6.7","11.0","7.0","7.2"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","001","Total","00","Total","001","Total","651","Firms with 100 to 249 employees","2018","7585","226261829","1115052","48388974","8.7","14.9","9.9","10.0"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","001","Total","00","Total","001","Total","652","Firms with 250 to 499 employees","2018","1729","150381139","604731","25262043","23.3","32.2","20.1","15.5"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","001","Total","00","Total","001","Total","657","Firms with 500 employees or more","2018","1111","280258082","1464316","57485098","7.7","3.7","4.1","7.0"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","001","Total","00","Total","001","Total","611","Firms with no employees","2018","438513","209446693","0","32124144","1.0","3.5","0.0","2.5"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","001","Total","00","Total","001","Total","612","Firms with 1 to 4 employees","2018","1731521","829936817","3456517","149360566","0.3","0.6","0.5","1.1"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","001","Total","00","Total","001","Total","620","Firms with 5 to 9 employees","2018","574771","704887118","3788263","163364518","1.0","1.1","0.9","1.4"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","001","Total","00","Total","001","Total","630","Firms with 10 to 19 employees","2018","372423","952098093","5009627","222341924","0.8","2.2","0.8","1.4"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","001","Total","00","Total","001","Total","641","Firms with 20 to 49 employees","2018","247080","1638134473","7489286","346031182","1.8","4.5","2.0","1.9"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","001","Total","00","Total","001","Total","642","Firms with 50 to 99 employees","2018","75740","1448192337","5172858","253921449","3.3","9.0","3.1","3.8"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","001","Total","00","Total","001","Total","651","Firms with 100 to 249 employees","2018","40132","1897587402","5900432","305464807","5.5","9.5","5.5","6.6"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","001","Total","00","Total","001","Total","652","Firms with 250 to 499 employees","2018","10194","1051638936","3576850","181195261","7.4","9.8","7.5","9.6"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","001","Total","00","Total","001","Total","657","Firms with 500 employees or more","2018","6583","2508113615","10952572","486697842","3.4","3.3","2.2","5.2"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","001","Total","00","Total","001","Total","611","Firms with no employees","2018","111623","42845589","0","6452843","2.6","3.2","0.0","2.6"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","001","Total","00","Total","001","Total","612","Firms with 1 to 4 employees","2018","420105","180346207","867877","29935088","1.0","2.3","1.2","1.9"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","001","Total","00","Total","001","Total","620","Firms with 5 to 9 employees","2018","152032","154564193","1005379","33970465","2.6","3.6","2.7","3.6"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","001","Total","00","Total","001","Total","630","Firms with 10 to 19 employees","2018","96991","186151937","1307637","42917550","3.7","7.0","3.7","3.6"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","001","Total","00","Total","001","Total","641","Firms with 20 to 49 employees","2018","59370","272466575","1759347","59505590","3.1","8.3","3.4","5.0"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","001","Total","00","Total","001","Total","642","Firms with 50 to 99 employees","2018","13368","167029204","911078","32365658","7.0","22.3","7.6","13.8"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","001","Total","00","Total","001","Total","651","Firms with 100 to 249 employees","2018","5413","162023125","811486","31213303","9.9","18.9","9.6","11.0"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","001","Total","00","Total","001","Total","652","Firms with 250 to 499 employees","2018","1165","62605514","432383","14155387","20.0","27.7","19.7","22.0"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","001","Total","00","Total","001","Total","657","Firms with 500 employees or more","2018","689","112576132","874934","29337123","12.9","9.4","7.2","11.8"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","020","Hispanic","00","Total","001","Total","611","Firms with no employees","2018","40437","16751326","0","2044248","3.0","20.1","0.0","5.4"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","020","Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2018","176528","71341852","353063","12092706","2.1","3.3","2.7","3.9"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","020","Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2018","53201","51991874","351954","11632477","2.9","5.2","2.6","4.4"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","020","Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2018","33756","63130978","454210","15025575","3.6","13.4","3.7","5.9"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","020","Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2018","19172","80246204","571044","19421394","4.5","5.1","4.5","3.8"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","020","Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2018","5377","57571503","363176","12549293","12.1","21.2","12.2","14.5"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","020","Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2018","2423","59736772","335939","11825351","19.1","20.1","18.9","19.5"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","020","Hispanic","00","Total","001","Total","652","Firms with 250 to 499 employees","2018","420","16867583","155052","5059298","24.7","25.2","26.4","39.4"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","020","Hispanic","00","Total","001","Total","657","Firms with 500 employees or more","2018","309","38006591","387703","11452957","20.1","5.1","19.7","6.5"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","020","Hispanic","00","Total","001","Total","611","Firms with no employees","2018","10036","3233978","0","499996","4.7","19.2","0.0","13.5"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","020","Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2018","47105","15792524","92631","2808773","4.7","8.2","4.8","7.4"
